Subject,Filename,Page,Rule ID,Type,Issue,Message,Suggestions,Highlighted Context,Pass Code
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,41,ER,misspelling,er,"Do not use ‘er’ in formal text. Use it only in quoted text to represent a hesitation. Did you mean “her”, “err” or “Er” (erbium)? Or possibly, there is an unnecessary space before or after ‘er’.","her, err, Er","...in their speech - use filler words e.g. **er**, umm, like, y'know - make a false start...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,41,ER,misspelling,er,"Do not use ‘er’ in formal text. Use it only in quoted text to represent a hesitation. Did you mean “her”, “err” or “Er” (erbium)? Or possibly, there is an unnecessary space before or after ‘er’.","her, err, Er",...m run it's kinda hard to (.) explain so **er** I was thinking maybe like we could visi...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,41,OK_OK_COMMA,uncategorized,no no,Consider adding a comma between these interjections.,"no, no, no",... we could visit go to the park tomorrow **no no** let's do it later on  ## NON-FLUENCY FE...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,41,SPURIOUS_APOSTROPHE,typographical,let's,The possessive apostrophe seems to be incorrect. Please remove the apostrophe if you want to use the plural form of ‘let’.,lets,...uld visit go to the park tomorrow no no **let's** do it later on  ## NON-FLUENCY FEATURES...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,41,ER,misspelling,er,"Do not use ‘er’ in formal text. Use it only in quoted text to represent a hesitation. Did you mean “her”, “err” or “Er” (erbium)? Or possibly, there is an unnecessary space before or after ‘er’.","her, err, Er","...need for thinking time (hedging) - um , **er** : fillers reflecting speaker's hesitant...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,41,OK_OK_COMMA,uncategorized,no no,Consider adding a comma between these interjections.,"no, no, no","...lan to do, and reframes the structure - **no no** : unintentional repetition that marks t...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,41,ER,misspelling,er,"Do not use ‘er’ in formal text. Use it only in quoted text to represent a hesitation. Did you mean “her”, “err” or “Er” (erbium)? Or possibly, there is an unnecessary space before or after ‘er’.","her, err, Er","...s personal feelings. The fillers ( um , **er** ) that mark thinking time add to the un...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,42,COMMA_COMPOUND_SENTENCE,uncategorized,but,Use a comma before ‘but’ if it connects two independent clauses (unless they are closely connected and short).,", but",...sh.  - e.g. I have never visited Iceland** but** I would like to go soon  NSE refers to ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,42,DT_PRP,grammar,A I,Using a determiner and a pronoun together is incorrect. Did you mean “A” or “I”?,"A, I",...o a logically related subject.  - e.g.  **A I** love the colours in autumn - B yeah rig...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,42,DT_PRP,grammar,A I,Using a determiner and a pronoun together is incorrect. Did you mean “A” or “I”?,"A, I",... is important to the speaker).  - e.g.  **A I** loved that film - B hey have you done t...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,43,DT_PRP,grammar,A I,Using a determiner and a pronoun together is incorrect. Did you mean “A” or “I”?,"A, I",...ive interviews with equal turn-taking - **A I** was going to ask you about the book = -...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,43,OK,locale-violation,ok,Lower-case ‘ok’ is American English. For British English use “OK”.,OK,...s thinking about the main character - B **ok** (.) what did you want to ask? - A I was...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,43,DT_PRP,grammar,A I,Using a determiner and a pronoun together is incorrect. Did you mean “A” or “I”?,"A, I",... - B ok (.) what did you want to ask? - **A I** was wondering whether her experiences a...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,43,ENGLISH_WRONG_WORD_IN_CONTEXT_DESERTS_DESSERTS,misspelling,deserts,Possibly confused word: Did you mean “desserts” (= a confectionery course that concludes a main meal) instead of ‘deserts’ (= a barren area of landscape with little precipitation)?,desserts,...e window which I always love - A so (.) **deserts**? were // they - B // absolutely great (...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,43,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...) you should go there (.) easy to get to** and** we all loved it actually we're going to...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,43,DT_PRP,grammar,A I,Using a determiner and a pronoun together is incorrect. Did you mean “A” or “I”?,"A, I",...ly we're going to head back next week - **A I** was wondering whether // I could join -...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,43,STARS_AND_STEPS,grammar,five star,‘five star’ is missing a hyphen.,five-star,...t's my recommendation go sometime a big **five star** review from me  COMMENT: Speaker B has ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,ENGLISH_WORD_REPEAT_RULE,duplication,the the,Possible typo: you repeated a word.,the,...y  - G I got to say guys I know some of **the the** Wrexham players personally I also had a...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...the gaffer (.) Phil Parkinson 1  as well** and** they've all said you're both really dow...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,ENGLISH_WORD_REPEAT_RULE,duplication,we we,Possible typo: you repeated a word.,we,...e nice to hear = - M = yeah yeah I mean **we we** know we know that there's nowhere to hi...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...know that there's nowhere to hide (.) um** and** we welcome that er we we we wear our he...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,ER,misspelling,er,"Do not use ‘er’ in formal text. Use it only in quoted text to represent a hesitation. Did you mean “her”, “err” or “Er” (erbium)? Or possibly, there is an unnecessary space before or after ‘er’.","her, err, Er",...here to hide (.) um and we welcome that **er** we we we wear our hearts on our sleeves...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",... we we we wear our hearts on our sleeves** and** we're trying to (.) um we're trying to ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,ENGLISH_WORD_REPEAT_RULE,duplication,and and,Possible typo: you repeated a word.,and,... make promises that we know we can keep **and and** to go into this with open eyes and full...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,COMMA_COMPOUND_SENTENCE_2,uncategorized,and,Use a comma before “and” if it connects two independent clauses (unless they are closely connected and short).,", and",...nt to mode): the exchange is cooperative** and** the spoken features reflect the positiv...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,MORFOLOGIK_RULE_EN_GB,misspelling,MacElhenny,Possible spelling mistake found.,McElhenney,...features (perhaps more than expected in **MacElhenny**'s turn): unintentional repetition e.g. ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,ENGLISH_WORD_REPEAT_RULE,duplication,we we,Possible typo: you repeated a word.,we,"...to ... we're trying to ...), pronouns ( **we we** w e ), coordinating conjunctions ( and ...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,ENGLISH_WORD_REPEAT_RULE,duplication,and and,Possible typo: you repeated a word.,and,"...e we w e ), coordinating conjunctions ( **and and** ); fillers (e.g. um / er - emphatic str...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,44,KEY_WORDS,misspelling,key words,Did you mean “keywords”?,keywords,...- emphatic stress: used for emphasis on **key words** e.g. interviewer focuses on his interac...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,45,MORFOLOGIK_RULE_EN_GB,misspelling,&amp,Possible spelling mistake found.,"camp, lamp, ramp (+10 more)",...ology Relevant to Mode - Teaching Ideas **&amp**; Activities  IDEA 1: creating flashcard...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,49,MORFOLOGIK_RULE_EN_GB,misspelling,Stanfeld,Possible spelling mistake found.,Stanfield,"...CABULARY to avoid heated conversations  **Stanfeld**,2017  <!-- image -->  PositivePsycholog...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,49,MORFOLOGIK_RULE_EN_GB,misspelling,NATURALSETTINGS,Possible spelling mistake found.,,...->  self-regulation skills  PRACTICE IN **NATURALSETTINGS** toraiseconfidencefor different situatio...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,49,MORFOLOGIK_RULE_EN_GB,misspelling,toraiseconfidencefor,Possible spelling mistake found.,,...ion skills  PRACTICE IN NATURALSETTINGS **toraiseconfidencefor** different situations  <!-- image -->   ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,50,SUBJECT_MATTER,style,subject matter,This phrase is redundant. Consider using “subject” to avoid wordiness.,subject,...he topic and word choices linked to the **subject matter** - examples of formality/informality and...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,51,MORFOLOGIK_RULE_EN_GB,misspelling,ing,Possible spelling mistake found.,"ING, in, king (+1426 more)",...d. Words in brackets (often adverbs or -**ing** verbs) suggest how the actor may delive...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,51,EVERYDAY_EVERY_DAY,misspelling,everyday,‘Everyday’ is an adjective. Did you mean “every day”?,every day,"...he spoken words seem quite distant from **everyday** spoken interactions. However, he still ...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,51,NN_CD_NN_CD_COMMA,uncategorized,Act 1 Scene 7,It seems that a comma is missing.,"Act 1, Scene 7","...le At what it did so freely?  Macbeth , **Act 1 Scene 7**  COMMENT: in a conversation, we would e...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,51,MORFOLOGIK_RULE_EN_GB,misspelling,GEOF,Possible spelling mistake found.,"GEOFF, GEO, GEF (+7 more)",...here and don't wake me up for a month.  **GEOF**: Shall I put the light on?  JO: No. Don...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,51,MORFOLOGIK_RULE_EN_GB,misspelling,GEOF,Possible spelling mistake found.,"GEOFF, GEO, GEF (+7 more)",... No. Don't you dare put that light on.  **GEOF**: Did you enjoy the fair?  JO: Loved it....,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,51,UNLIKELY_OPENING_PUNCTUATION,uncategorized,),Loose punctuation mark.,,...t ) and an elliptical style ( Loved it. **)**. This helps her to characterise Jo and ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,51,MORFOLOGIK_RULE_EN_GB,misspelling,Geof,Possible spelling mistake found.,"Geoff, Geo, GEF (+6 more)",.... This helps her to characterise Jo and **Geof** as good friends.  ## Spoken language in...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,MORFOLOGIK_RULE_EN_GB,misspelling,growed,"Possible spelling mistake. Did you mean “grew”, the past tense form of the verb ‘grow’?","grew, rowed, grower (+10 more)","...ow AIR you, Pip?'  'Which you have that **growed**,' said Joe, 'and that swelled, and that...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,MORFOLOGIK_RULE_EN_GB,misspelling,gentle-folked,Possible spelling mistake found.,"gentlefolk, gentlefolks","...' said Joe, 'and that swelled, and that **gentle-folked**;' Joe considered a little before he dis...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,EN_A_VS_AN,misspelling,a,"Use “an” instead of ‘a’ if the following word starts with a vowel sound, e.g. ‘an article’, ‘an hour’.",an,...vered this word; 'as to be sure you are **a** honour to your king and country.'  'And...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,MORFOLOGIK_RULE_EN_GB,misspelling,hin,Possible spelling mistake found.,"in, his, him (+66 more)",...on with the pronunciation of an initial **hin** honour (marked by Dickens' use of the d...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,DT_RB_IN,grammar,a rather,The adverb “rather” cannot be used like a noun.,,...arked by Dickens' use of the determiner **a rather** than 'an' which occurs after a vowel) ....,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,EN_UNPAIRED_QUOTES,typographical,',Unpaired symbol: ‘'’ seems to be missing,,...ns' use of the determiner a rather than **'**an' which occurs after a vowel) . The no...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,MORFOLOGIK_RULE_EN_GB,misspelling,growed,"Possible spelling mistake. Did you mean “grew”, the past tense form of the verb ‘grow’?","grew, rowed, grower (+10 more)",... after a vowel) . The non-standard verb **growed** (the past participle 'grown') and the n...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,MORFOLOGIK_RULE_EN_GB,misspelling,gentle-folked,Possible spelling mistake found.,"gentlefolk, gentlefolks",...t participle 'grown') and the neologism **gentle-folked** (verbing the noun 'gentlefolk') develop...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,MORFOLOGIK_RULE_EN_GB,misspelling,ing,Possible spelling mistake found.,"ING, in, king (+1426 more)",...to him. The description of Joe consider[**ing**] a little before he discovered this wor...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,GONNA,style,gonna,The word ‘gonna’ is informal.,going to,...ge lift from the British (.) if they're **gonna** come back on the Australians (.) Austra...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,52,ENGLISH_WORD_REPEAT_RULE,duplication,huge huge,Possible typo: you repeated a word.,huge,....) hundred metres remain (.) it needs a **huge huge** push for the British crew to move from ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,53,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...d excitement as the race comes to an end** and** it looks as if the British team could w...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,53,EN_COMPOUNDS_SELF_DESTRUCT,misspelling,self destruct,This word is normally spelled with a hyphen.,self-destruct,...f-destruct [presses wall] you know what **self destruct** means? (1) when you press a button and ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,53,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...ss a button and the whole thing blows up** and** it's gone BOOM (.) and you keep pressin...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,53,GONNA,style,gonna,The word ‘gonna’ is informal.,going to,...en years Billy (1) I know where this is **gonna** go (2) I can see (.) like a crystal bal...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,53,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",... doin' worse things than me though innit** and** they NEVER get in trouble = - H = I cou...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,54,MORFOLOGIK_RULE_EN_GB,misspelling,&amp,Possible spelling mistake found.,"camp, lamp, ramp (+10 more)",...aches to Spoken Language Teaching Ideas **&amp**; Activities  IDEA 1: Identifying spoken...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,54,COMMA_COMPOUND_SENTENCE_2,uncategorized,and,Use a comma before “and” if it connects two independent clauses (unless they are closely connected and short).,", and",... on genre conventions and the way spoken** and** literary features influence audience re...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,55,GONNA,style,gonna,The word ‘gonna’ is informal.,going to,... of texture going (.) and then I'm just **gonna** add a little flour (.) to it (.) just t...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,55,A_INFINITIVE,grammar,a knead,The verb ‘knead’ does not usually follow articles like ‘a’. Check that ‘knead’ is spelled correctly; using ‘knead’ as a noun may be non-standard.,a kneed,... board and W // great - O we'll give it **a knead** (2) you can see it sorta coming togethe...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,55,MORFOLOGIK_RULE_EN_GB,misspelling,sorta,Possible spelling mistake found.,"sort, sorts, aorta (+7 more)",...e'll give it a knead (2) you can see it **sorta** coming together now it's kinda like lik...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,55,ENGLISH_WORD_REPEAT_RULE,duplication,like like,Possible typo: you repeated a word.,like,...it sorta coming together now it's kinda **like like** (.) very gluey (2) stretchy (.) so the ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,55,MORFOLOGIK_RULE_EN_GB,misspelling,errr,Possible spelling mistake found.,"error, err, errs (+2 more)",...ng so just keep it moving - W yeah yeah **errr** this is a disaster HOW has that happene...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,56,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...hen you press it all the juice comes out** and** I think that's plenty (.) don't be temp...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,56,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",... to cook the lobster tails here they are** and** they take no time to cook about five mi...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,56,MORFOLOGIK_RULE_EN_GB,misspelling,townhalls,Possible spelling mistake found.,"town halls, Townhall",...'s right to vote in America and visited **townhalls** to speak to local people. [WJEC Antholo...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,56,ENGLISH_WORD_REPEAT_RULE,duplication,A a,Possible typo: you repeated a word.,A,...C Anthology]  ## A: Susan B. Anthony  - **A a** year and a half ago (.) I saw a theatri...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,56,EN_WORD_COHERENCY,uncategorized,recognized,Do not mix variants of the same word (‘recognize’ and ‘recognise’) within a single text.,recognised,...xation (1) until their right to vote be **recognized** AMEN  ## Sample questions:  - Look at l...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,60,FIRST_PERSON_SHOOTER,grammar,first person,"When ‘first-person’ is used as a modifier, it is usually spelled with a hyphen.",first-person,...-----------    Learners can recognise a **first person** narrator in the writer's use of first p...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,60,FIRST_PERSON_SHOOTER,grammar,first person,"When ‘first-person’ is used as a modifier, it is usually spelled with a hyphen.",first-person,... person narrator in the writer's use of **first person** pronouns I (singular) or we (plural). I...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,60,FIRST_PERSON_SHOOTER,grammar,second person,"When ‘second-person’ is used as a modifier, it is usually spelled with a hyphen.",second-person,...he young Pip.  Learners can recognise a **second person** narrator in the writer's use of second ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,60,FIRST_PERSON_SHOOTER,grammar,second person,"When ‘second-person’ is used as a modifier, it is usually spelled with a hyphen.",second-person,... person narrator in the writer's use of **second person** pronouns ( you ) . This addresses the r...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,60,FIRST_PERSON_SHOOTER,grammar,second person,"When ‘second-person’ is used as a modifier, it is usually spelled with a hyphen.",second-person,"...ss, towards the deathly sound.  In this **second person** narrative, learners could comment on th...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,61,FIRST_PERSON_SHOOTER,grammar,third person,"When ‘third-person’ is used as a modifier, it is usually spelled with a hyphen.",third-person,"...my , deathly.  Learners can recognise a **third person** narrator in the writer's use of third p...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,61,FIRST_PERSON_SHOOTER,grammar,third person,"When ‘third-person’ is used as a modifier, it is usually spelled with a hyphen.",third-person,... person narrator in the writer's use of **third person** pronouns she/he (singular) and they (pl...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,61,FIRST_PERSON_SHOOTER,grammar,third person,"When ‘third-person’ is used as a modifier, it is usually spelled with a hyphen.",third-person,"...essing experience. (Chapter 4)  In this **third person** narrative, learners could comment on th...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,61,FIRST_PERSON_SHOOTER,grammar,third person,"When ‘third-person’ is used as a modifier, it is usually spelled with a hyphen.",third-person,"...essing experience .  Stylistically, the **third person** narrator has moved from the external an...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,62,EN_COMPOUNDS_WELL_BUILT,misspelling,well built,This word is normally spelled with a hyphen.,well-built,"...e party. [...] It was rather small, but **well built** and convenient; and every thing was fit...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,62,EN_COMPOUNDS_WELL_BUILT,misspelling,well built,This word is normally spelled with a hyphen.,well-built,...ty (rather than luxury) e.g. adjectives **well built** and convenient - to reflect Charlotte's...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,63,ON_IN_THE_AFTERNOON,grammar,on the evening,"The usual preposition for “evening” is “in”, not “on”. Try it like this: “in the evening”.",in the evening,...elley describes the mood and atmosphere **on the evening** Frankenstein gives life to his creation...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,64,COMMA_COMPOUND_SENTENCE_2,uncategorized,and,Use a comma before “and” if it connects two independent clauses (unless they are closely connected and short).,", and",...as the plot develops.  He began to dance** and** his laughter became a bloodthirsty snar...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,64,T_HE,misspelling,t he,Did you mean “the”?,the,"...this extract, learners could comment on **t he** third person narrator's observations ab...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,64,FIRST_PERSON_SHOOTER,grammar,third person,"When ‘third-person’ is used as a modifier, it is usually spelled with a hyphen.",third-person,"...extract, learners could comment on t he **third person** narrator's observations about Jack's be...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,65,FIRST_PERSON_SHOOTER,grammar,first person,"When ‘first-person’ is used as a modifier, it is usually spelled with a hyphen.",first-person,...nters e.g. aggressive repetition of the **first person** plural pronoun we (distancing Ralph and...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,65,VERB_NOUN_CONFUSION,uncategorized,break down,"When ‘break-down’ is used as a noun or modifier, it needs to be hyphenated.",break-down,"...magined brutality. It marks the chaotic **break down** of the assembly.  'I'm scared of him,' ...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,65,COMMA_COMPOUND_SENTENCE,uncategorized,but,Use a comma before ‘but’ if it connects two independent clauses (unless they are closely connected and short).,", but",...If you're scared of someone you hate him** but** you can't stop thinking about him. You ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,65,SUBJECT_MATTER,style,subject matter,This phrase is redundant. Consider using “subject” to avoid wordiness.,subject,"...d events in literary writing, or to the **subject matter** in other kinds of writing. Writers can,...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,66,MORFOLOGIK_RULE_EN_GB,misspelling,ll,Possible spelling mistake found.,"LL, all, ill (+95 more)","...sonality e.g. tripling of noun phrases (**ll**.1-2), reductive connotations of adjecti...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,66,PAST_EXPERIENCE_MEMORY,style,past experiences,Consider using “experiences”.,experiences,...he author aims to immerse the reader in **past experiences**. Angelou is re-creating a key event as ...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,66,CD_TH,typographical,4 th,Did you mean “4th”?,4th,...ild-orientated figurative language e.g. **4 th**  July cultural reference (dramatic mino...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,66,MORFOLOGIK_RULE_EN_GB,misspelling,powhitetrash,Possible spelling mistake found.,,...feeling unsettled when Momma addresses '**powhitetrash**' girls using the honorific Miz e.g. rep...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,68,THE_NN_AND_THE_NN,grammar,is,Did you mean “are”?,are,...er between the fireplace and the window **is** occupied by a divan cushioned in Morris...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,68,INTERJECTIONS_PUNCTUATION,uncategorized,Oh,Interjections are usually punctuated.,"Oh,, Oh!, Oh? (+1 more)","...f, and presents it to him ).  HIGGINS:  **Oh** bother! ( He throws the hat down on the...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,69,EN_COMPOUNDS_SUB_HEADINGS,misspelling,sub-headings,This word is normally spelled as one.,subheadings,"...views, leaflets, factsheets, blogs) and **sub-headings** to organise the content and make it eas...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,70,FIRST_PERSON_SHOOTER,grammar,first person,"When ‘first-person’ is used as a modifier, it is usually spelled with a hyphen.",first-person,"...s to engage readers? In this extract, a **first person** narrator recounts a personal experience...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,70,FIRST_PERSON_SHOOTER,grammar,first person,"When ‘first-person’ is used as a modifier, it is usually spelled with a hyphen.",first-person,...shared with readers) e.g. repetition of **first person** pronoun • simplicity of experience e.g....,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,70,POSSESSIVE_APOSTROPHE,typographical,nouns,An apostrophe may be missing.,"nouns', noun's","...uent richness of wildlife e.g. concrete **nouns** dormouse , animals , rabbits • closing ...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,71,MORFOLOGIK_RULE_EN_GB,misspelling,subheadline,Possible spelling mistake found.,subhead line,.... coordinated modifiers life or death - **subheadline** - subject specific terms to explain con...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,72,MORFOLOGIK_RULE_EN_GB,misspelling,&amp,Possible spelling mistake found.,"camp, lamp, ramp (+10 more)",...  ## Genre Conventions - Teaching Ideas **&amp**; Activities  ## IDEA 1: recognising and...,LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,72,PIGEON_ENGLISH,misspelling,Pigeon,Did you mean “pidgin” (=simplified language)?,Pidgin,"...different narrative voice.  ## Text 1 : **Pigeon** English , Stephen Kelman (2011)  Harri ...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,72,MORFOLOGIK_RULE_EN_GB,misspelling,Asweh,Possible spelling mistake found.,"Asked, Answer, Ash (+31 more)","...air in a ponytail even if he was a man. **Asweh**, 1  the whole thing just felt brutal. 2...",LT
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,72,MORFOLOGIK_RULE_EN_GB,misspelling,chook,Possible spelling mistake found.,"kook, hook, cook (+7 more)","...fast. They don't talk to you, they just **chook** 3  you out of the way with their elbows...",LT
